inproceedings:ID,author:string[],booktitle:string,crossref:string[],editor:string[],ee:string[],key:string,number:string,pages:string,title:string,volume:int,year:int,corresponding_author,doi,keywords
238894,Jeong Lim|Ralph E. Johnson,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67433|https://doi.org/10.1145/67387.67433,journals/sigplan/LimJ89,,165-167,The heart of object-oriented concurrent programming.,,1988,Jeong Lim,https://doi.org/10.1145/67386.67433|https://doi.org/10.1145/67387.67433,concurrent|objectoriented|heart|programming
238910,Lawrence A. Crowl,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67406|https://doi.org/10.1145/67387.67406,journals/sigplan/Crowl89a,,79-80,Concurrent data structures and actor programming under the Matroshka model.,,1988,Lawrence A. Crowl,https://doi.org/10.1145/67386.67406|https://doi.org/10.1145/67387.67406,model|matroshka|structures|concurrent|data|programming|actor
238942,Kim Bruce 0001|Peter Wegner,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323760|https://doi.org/10.1145/323779.323760,journals/sigplan/0001W86,,183-184,An algebraic model of subtype in object-oriented languages (abstract only).,,1986,Kim Bruce 0001,https://doi.org/10.1145/323648.323760|https://doi.org/10.1145/323779.323760,languages|model|algebraic|data storage|objectoriented|abstract|subtype
239021,F. Carre|P. Clere,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67404|https://doi.org/10.1145/67387.67404,journals/sigplan/CarreC89,,73-75,Object oriented languages and actors: which language for a distributed approach?,,1988,F. Carre,https://doi.org/10.1145/67386.67404|https://doi.org/10.1145/67387.67404,languages|actors|distributed|oriented|approach|object|language|data querying
239027,Kristen Nygaard,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323768|https://doi.org/10.1145/323779.323768,journals/sigplan/Nygaard86a,,187-188,Basic concepts in object oriented programming (abstract only).,,1986,Kristen Nygaard,https://doi.org/10.1145/323648.323768|https://doi.org/10.1145/323779.323768,concepts|abstract|oriented|basic|object|programming
239033,Dennis G. Kafura,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67445|https://doi.org/10.1145/67387.67445,journals/sigplan/Kafura89,,203-205,Concurrent object-oriented real-times systems research.,,1988,Dennis G. Kafura,https://doi.org/10.1145/67386.67445|https://doi.org/10.1145/67387.67445,objectoriented|realtimes|concurrent|big data|research|systems
239041,Alexander Borgida,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323749|https://doi.org/10.1145/323779.323749,journals/sigplan/Borgida86,,107-119,Exceptions in object-oriented languages.,,1986,Alexander Borgida,https://doi.org/10.1145/323648.323749|https://doi.org/10.1145/323779.323749,objectoriented|exceptions|languages
239078,Martin S. Feather,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67431|https://doi.org/10.1145/67387.67431,journals/sigplan/Feather89,,159-161,Language issues in the specification and design of composite systems.,,1988,Martin S. Feather,https://doi.org/10.1145/67386.67431|https://doi.org/10.1145/67387.67431,design|composite|data management|issues|language|systems|specification
239102,Harold Ossher,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323769|https://doi.org/10.1145/323779.323769,journals/sigplan/Ossher86a,,188,"Specifying the structure of large, layered, object-oriented programs (abstract only).",,1986,Harold Ossher,https://doi.org/10.1145/323648.323769|https://doi.org/10.1145/323779.323769,layered|objectoriented|abstract|programs|data management|structure|specifying|large
239128,Joseph A. Goguen|José Meseguer,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323763|https://doi.org/10.1145/323779.323763,journals/sigplan/GoguenM86a,,185,Foundations and extensions of object-oriented programming (abstract only).,,1986,Joseph A. Goguen,https://doi.org/10.1145/323648.323763|https://doi.org/10.1145/323779.323763,extensions|foundations|objectoriented|abstract|programming|data querying
239148,Les Gasser,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67415|https://doi.org/10.1145/67387.67415,journals/sigplan/Gasser89,,108-110,MACE: High-level distributed objects in a flexible testbed for distributed AI research.,,1988,Les Gasser,https://doi.org/10.1145/67386.67415|https://doi.org/10.1145/67387.67415,testbed|distributed|highlevel|ai|mace|research|flexible|objects
239152,Janis A. Bubenko Jr.|Mike P. Papazoglou|Moira C. Norrie,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67421|https://doi.org/10.1145/67387.67421,journals/sigplan/PapazoglouBN89,,126-128,Intent: an integrated environment for distributed heterogeneous databases.,,1988,Janis A. Bubenko Jr.,https://doi.org/10.1145/67386.67421|https://doi.org/10.1145/67387.67421,integrated|environment|intent|data storage|distributed|databases|heterogeneous
239158,Edward A. Luke|Helen C. Takacs|William Claude Welch,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67435|https://doi.org/10.1145/67387.67435,journals/sigplan/LukeTW89,,171-173,Position statement on concurrent objects for massively parallel architectures.,,1988,Edward A. Luke,https://doi.org/10.1145/67386.67435|https://doi.org/10.1145/67387.67435,parallel|architectures|statement|concurrent|massively|objects|position
239162,Joseph A. Goguen|José Meseguer,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323755|https://doi.org/10.1145/323779.323755,journals/sigplan/GoguenM86,,153-162,Extensions and foundations of object-oriented programming.,,1986,Joseph A. Goguen,https://doi.org/10.1145/323648.323755|https://doi.org/10.1145/323779.323755,objectoriented|programming|foundations|extensions
239208,Akinori Yonezawa|Takuo Watanabe,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67399|https://doi.org/10.1145/67387.67399,journals/sigplan/YonezawaW89,,50-54,An introduction to object-based reflective concurrent computation.,,1988,Akinori Yonezawa,https://doi.org/10.1145/67386.67399|https://doi.org/10.1145/67387.67399,computation|data storage|introduction|objectbased|concurrent|reflective
239238,Gul Agha,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67401|https://doi.org/10.1145/67387.67400,journals/sigplan/Agha89,,60-65,Foundational issues in concurrent computing.,,1988,Gul Agha,https://doi.org/10.1145/67386.67401|https://doi.org/10.1145/67387.67400,concurrent|computing|foundational|issues
239286,William L. Bain,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67411|https://doi.org/10.1145/67387.67411,journals/sigplan/Bain89,,95-98,"Indexed, global objects for distributed memory parallel architectures.",,1988,William L. Bain,https://doi.org/10.1145/67386.67411|https://doi.org/10.1145/67387.67411,parallel|architectures|distributed|indexed|global|memory|objects
239331,Simon M. Kaplan|Steven K. Goering,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67439|https://doi.org/10.1145/67387.67439,journals/sigplan/KaplanG89,,184-186,Garp: a graphical/textual language for concurrent programming.,,1988,Simon M. Kaplan,https://doi.org/10.1145/67386.67439|https://doi.org/10.1145/67387.67439,graphicaltextual|garp|concurrent|programming|language
239342,Ole Lehrmann Madsen,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323753|https://doi.org/10.1145/323779.323753,journals/sigplan/Madsen86,,133-142,Block structure and object oriented languages.,,1986,Ole Lehrmann Madsen,https://doi.org/10.1145/323648.323753|https://doi.org/10.1145/323779.323753,languages|block|oriented|object|structure
239409,Stanley B. Zdonik,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323750|https://doi.org/10.1145/323779.323750,journals/sigplan/Zdonik86,,120-127,Maintaining consistency in a database with changing types.,,1986,Stanley B. Zdonik,https://doi.org/10.1145/323648.323750|https://doi.org/10.1145/323779.323750,types|changing|maintaining|data management|database|consistency
239411,Gul Agha,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323758|https://doi.org/10.1145/323779.323758,journals/sigplan/Agha86a,,183,Fair concurrency in actors (abstract only): eager evaluation producers strong convergence.,,1986,Gul Agha,https://doi.org/10.1145/323648.323758|https://doi.org/10.1145/323779.323758,concurrency|actors|fair|strong|abstract|eager|data management|evaluation|producers|convergence
239413,Bjarne Stroustrup,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323736|https://doi.org/10.1145/323779.323736,journals/sigplan/Stroustrup86,,7-18,An overview of C++.,,1986,Bjarne Stroustrup,https://doi.org/10.1145/323648.323736|https://doi.org/10.1145/323779.323736,big data|c|overview
