proceedings:ID,booktitle:string,editor:string[],ee:string[],key:string,number:string,title:string,volume:string,year:int,in_selected_ip_subset,doi,edition
8927148,INFINITY,Peter Habermehl|Tomás Vojnar,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/239/suppl/C,conf/infinity/2006-07-08,,"Joint Proceedings of the 8th, 9th, and 10th International Workshops on Verification of Infinite-State Systems, INFINITY 2006 / 2007 / 2008, Bonn, Germany, August 26, 2006 / Lisbon, Portugal, September 8, 2007 / Toronto, Canada, August 23, 2008",239,2009,True,,239
8927149,INFINITY,Philippe Schnoebelen,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/98/suppl/C,conf/infinity/2003,,"Proceedings of INFINITY 2003, the 5th International Workshop on Verification of Infinite-State Systems, a satellite workshop of CONCUR 2003, Marseille, France, September 2, 2003",98,2004,True,,98
8927150,INFINITY,Bernhard Steffen|Didier Caucal,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/5/suppl/C,conf/infinity/1996,,"First International Workshop on Verification of Infinite State Systems, Infinity 1996, Università di Pisa, Pisa, Italy, August 30-31, 1996",5,1997,True,,5
8927151,INFINITY,Faron Moller,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/9/suppl/C,conf/infinity/1997,,"Second International Workshop on Verification of Infinite State Systems, Infinity 1997, Bologna, Italy, July 11-12, 1997",9,1997,True,,9
8927152,INFINITY,Antonín Kucera 0001|Richard Mayr,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/68/issue/6,conf/infinity/2002,6,"4th International Workshop on Verification of Infinite-State Systems (CONCUR 2002 Satellite Workshop), Infinity 2002, Brno, Czech Republic, August 24, 2002",68,2003,True,,68
8936181,ANT/MobiWIS,Elhadi M. Shakshuki|Muhammad Younas 0001,https://www.sciencedirect.com/science/journal/18770509/5,conf/ant/2011,,"Proceedings of the 2nd International Conference on Ambient Systems, Networks and Technologies (ANT 2011), the 8th International Conference on Mobile Web Information Systems (MobiWIS-2011), Niagara Falls, Ontario, Canada, September 19-21, 2011",5,2011,True,,5
8937396,ANT/MobiWIS,Elhadi M. Shakshuki|Muhammad Younas 0001,https://www.sciencedirect.com/science/journal/18770509/10,conf/ant/2012,,"Proceedings of the 3rd International Conference on Ambient Systems, Networks and Technologies (ANT 2012), the 9th International Conference on Mobile Web Information Systems (MobiWIS-2012), Niagara Falls, Ontario, Canada, August 27-29, 2012",10,2012,True,,10
8953081,REM@ESORICS,Fabio Massacci|Frank Piessens,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/197/issue/1,conf/esorics/2007rem,1,"Proceedings of the First International Workshop on Run Time Enforcement for Mobile and Distributed Systems, REM@ESORICS 2007, Dresden, Germany, September 27, 2007",197,2008,True,,197
8967250,WRLA,Narciso Martí-Oliet,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/117/suppl/C,conf/wrla/2004,,"Proceedings of the Fifth International Workshop on Rewriting Logic and Its Applications, WRLA 2004, Barcelona, Spain, March 27-28, 2004",117,2005,True,,117
8967259,WRLA,Claude Kirchner|Hélène Kirchner,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/15/suppl/C,conf/wrla/1998,,"1998 International Workshop on Rewriting Logic and its Applications, WRLA 1998, Abbaye des Prémontrés at Pont-à-Mousson, France, September 1998",15,1998,True,,15
