author_list,crossref:string[],publish_count
Vincent Danos,conf/concur/2003bio,2
Vincent Danos,conf/dcm/2007,2
Andrew D. Gordon 0001,conf/apc25/2005,2
Andreas Meier 0002,conf/uitp/2003,2
José Meseguer,conf/ctcs/1999,2
Gilles Dowek,conf/lsfa/2014,2
José Meseguer,conf/rule/2008,2
Andreas Herzig,conf/lcmas/2005,2
Christos D. Zaroliagis,conf/atmos/2003,2
Sicco Verwer,conf/icgi/2012,2
Marcelo P. Fiore,conf/birthday/2007plotkin,2
Ricardo Honorato-Zimmer,conf/sasb/2012,2
José Raymundo Marcial-Romero,conf/lanmr/2014s,2
Marcello M. Bonsangue,conf/uml/2003cvuml,2
Josée Desharnais,conf/dtmpp/2003,2
Elaine Pimentel,conf/lsfa/2016,2
Giorgios Economopoulos,conf/ldta/2004,2
Ginés Moreno,conf/prole/2006,2
Marco Gribaudo,conf/pasm/2014,2
Vincent Danos,conf/lltm/1996,2
José Antonio Hernández Servín,conf/lanmr/2016s,2
Andrew Butterfield,conf/fmics/2003,2
Giorgio Valentini,conf/mlsb/2009,2
Vincent Danos,conf/qpl/2005,2
Vincent Danos,conf/sasb/2012,2
Giorgio P. Faconti,conf/forte/2000fme,2
Giorgio Levi,conf/mfcsit/2000,2
Edward Hermann Haeusler,conf/lsfa/2009,2
Giorgio Giacinto,conf/wapa/2010,2
Edward Hermann Haeusler,conf/lsfa/2014,2
Edward Hermann Haeusler,conf/weit/2015,2
José Creissac Campos,conf/fmis/2007,2
Andrei Arusoaie,conf/kframework/2011,2
Eelco Visser,conf/ldta/2007,2
Eelco Visser,conf/ldta/2009,2
Eelco Visser,conf/wrs/2001,2
Riccardo Focardi,conf/tosca2/2001,2
Eerke A. Boiten,conf/refine/2006,2
Eerke A. Boiten,conf/refine/2007,2
Eerke A. Boiten,conf/refine/2008,2
Grigore Rosu,conf/rv/2001,2
Ugo Montanari,conf/wrla/2002,2
Mario Bravetti,conf/mtcs/2002,2
John P. Gallagher,journals/corr/abs-2008-02483,2
Ulrich Fahrenberg,conf/getco/2003,2
Oana Andrei,conf/wrla/2008,2
John Power,conf/cmcs/2001,2
Dominik Janzing,conf/nips/2008coa,2
John Power,conf/mfcsit/2004,2
John Power,conf/mfps/1995,2
John Power,conf/mfps/1997,2
Anthony Karel Seda,conf/mfcsit/2004,2
Anthony Karel Seda,conf/mfcsit/2000,2
Oded Maler,conf/etaps/2002tpts,2
John Power,conf/mfps/2012,2
Grigore Rosu,conf/rv/2003,2
Grigore Rosu,conf/rv/2004,2
John Shawe-Taylor,conf/wapa/2011,2
